code,title,description,synonym
A000,Cholera,"Cholera () is an infection of the small intestine by some strains of the bacterium Vibrio cholerae. Symptoms may range from none, to mild, to severe. The classic symptom is large amounts of watery diarrhea lasting a few days. Vomiting and muscle cramps may also occur. Diarrhea can be so severe that it leads within hours to severe dehydration and electrolyte imbalance. This can in turn result in sunken eyes, cold or cyanotic skin, decreased skin elasticity, wrinkling of the hands and feet, and, in severe cases, death. Symptoms start two hours to five days after exposure.
Cholera is caused by a number of types of Vibrio cholerae, with some types producing more severe disease than others. It is spread mostly by unsafe water and unsafe food that has been contaminated with human feces containing the bacteria. Undercooked shellfish is a common source. Humans are the only known host for the bacteria. Risk factors for the disease include poor sanitation, insufficient clean drinking water, and poverty. Cholera can be diagnosed by a stool test, or a rapid dipstick test, although the dipstick test is less accurate.
Prevention methods against cholera include improved sanitation and access to clean water. Cholera vaccines that are given by mouth provide reasonable protection for about six months, and confer the added benefit of protecting against another type of diarrhea caused by E. coli. In 2017, the US Food and Drug Administration (FDA) approved a single-dose, live, oral cholera vaccine called Vaxchora for adults aged 18–64 who are travelling to an area of active cholera transmission. It offers limited protection to young children. People who survive an episode of cholera have long-lasting immunity for at least three years (the period tested).
The primary treatment for affected individuals is oral rehydration salts (ORS), the replacement of fluids and electrolytes by using slightly sweet and salty solutions. Rice-based solutions are preferred. In children, zinc supplementation has also been found to improve outcomes. In severe cases, intravenous fluids, such as Ringer's lactate, may be required, and antibiotics may be beneficial. The choice of antibiotic is aided by antibiotic sensitivity testing.
Cholera continues to affect an estimated 3–5 million people worldwide and causes 28,800–130,000 deaths a year. To date, seven cholera pandemics have occurred, with the most recent beginning in 1961, and continuing today. The illness is rare in high-income countries, and affects children most severely. Cholera occurs as both outbreaks and chronically in certain areas. Areas with an ongoing risk of disease include Africa and Southeast Asia. The risk of death among those affected is usually less than 5%, given improved treatment, but may be as high as 50% without such access to treatment. Descriptions of cholera are found as early as the 5th century BCE in Sanskrit literature. In Europe, cholera was a term initially used to describe any kind of gastroenteritis, and was not used for this disease until the early 19th century. The study of cholera in England by John Snow between 1849 and 1854 led to significant advances in the field of epidemiology because of his insights about transmission via contaminated water, and a map of the same was the first recorded incidence of epidemiological tracking.","here are the symptoms listed separately by semicolon:

mild symptoms; severe symptoms; large amounts of watery diarrhea; vomiting; muscle cramps; sunken eyes; cold or cyanotic skin; decreased skin elasticity; wrinkling of hands and feet.

note: i've removed ""long-lasting immunity"" from the list as it's not a specific symptom, but rather a long-term outcome."
A001,Cholera,"Cholera () is an infection of the small intestine by some strains of the bacterium Vibrio cholerae. Symptoms may range from none, to mild, to severe. The classic symptom is large amounts of watery diarrhea lasting a few days. Vomiting and muscle cramps may also occur. Diarrhea can be so severe that it leads within hours to severe dehydration and electrolyte imbalance. This can in turn result in sunken eyes, cold or cyanotic skin, decreased skin elasticity, wrinkling of the hands and feet, and, in severe cases, death. Symptoms start two hours to five days after exposure.
Cholera is caused by a number of types of Vibrio cholerae, with some types producing more severe disease than others. It is spread mostly by unsafe water and unsafe food that has been contaminated with human feces containing the bacteria. Undercooked shellfish is a common source. Humans are the only known host for the bacteria. Risk factors for the disease include poor sanitation, insufficient clean drinking water, and poverty. Cholera can be diagnosed by a stool test, or a rapid dipstick test, although the dipstick test is less accurate.
Prevention methods against cholera include improved sanitation and access to clean water. Cholera vaccines that are given by mouth provide reasonable protection for about six months, and confer the added benefit of protecting against another type of diarrhea caused by E. coli. In 2017, the US Food and Drug Administration (FDA) approved a single-dose, live, oral cholera vaccine called Vaxchora for adults aged 18–64 who are travelling to an area of active cholera transmission. It offers limited protection to young children. People who survive an episode of cholera have long-lasting immunity for at least three years (the period tested).
The primary treatment for affected individuals is oral rehydration salts (ORS), the replacement of fluids and electrolytes by using slightly sweet and salty solutions. Rice-based solutions are preferred. In children, zinc supplementation has also been found to improve outcomes. In severe cases, intravenous fluids, such as Ringer's lactate, may be required, and antibiotics may be beneficial. The choice of antibiotic is aided by antibiotic sensitivity testing.
Cholera continues to affect an estimated 3–5 million people worldwide and causes 28,800–130,000 deaths a year. To date, seven cholera pandemics have occurred, with the most recent beginning in 1961, and continuing today. The illness is rare in high-income countries, and affects children most severely. Cholera occurs as both outbreaks and chronically in certain areas. Areas with an ongoing risk of disease include Africa and Southeast Asia. The risk of death among those affected is usually less than 5%, given improved treatment, but may be as high as 50% without such access to treatment. Descriptions of cholera are found as early as the 5th century BCE in Sanskrit literature. In Europe, cholera was a term initially used to describe any kind of gastroenteritis, and was not used for this disease until the early 19th century. The study of cholera in England by John Snow between 1849 and 1854 led to significant advances in the field of epidemiology because of his insights about transmission via contaminated water, and a map of the same was the first recorded incidence of epidemiological tracking.","here are the symptoms separated by semicolons:

large amounts of watery diarrhea; vomiting; muscle cramps; severe dehydration; electrolyte imbalance; sunken eyes; cold or cyanotic skin; decreased skin elasticity; wrinkling of hands and feet; death"
A009,Cholera,"Cholera () is an infection of the small intestine by some strains of the bacterium Vibrio cholerae. Symptoms may range from none, to mild, to severe. The classic symptom is large amounts of watery diarrhea lasting a few days. Vomiting and muscle cramps may also occur. Diarrhea can be so severe that it leads within hours to severe dehydration and electrolyte imbalance. This can in turn result in sunken eyes, cold or cyanotic skin, decreased skin elasticity, wrinkling of the hands and feet, and, in severe cases, death. Symptoms start two hours to five days after exposure.
Cholera is caused by a number of types of Vibrio cholerae, with some types producing more severe disease than others. It is spread mostly by unsafe water and unsafe food that has been contaminated with human feces containing the bacteria. Undercooked shellfish is a common source. Humans are the only known host for the bacteria. Risk factors for the disease include poor sanitation, insufficient clean drinking water, and poverty. Cholera can be diagnosed by a stool test, or a rapid dipstick test, although the dipstick test is less accurate.
Prevention methods against cholera include improved sanitation and access to clean water. Cholera vaccines that are given by mouth provide reasonable protection for about six months, and confer the added benefit of protecting against another type of diarrhea caused by E. coli. In 2017, the US Food and Drug Administration (FDA) approved a single-dose, live, oral cholera vaccine called Vaxchora for adults aged 18–64 who are travelling to an area of active cholera transmission. It offers limited protection to young children. People who survive an episode of cholera have long-lasting immunity for at least three years (the period tested).
The primary treatment for affected individuals is oral rehydration salts (ORS), the replacement of fluids and electrolytes by using slightly sweet and salty solutions. Rice-based solutions are preferred. In children, zinc supplementation has also been found to improve outcomes. In severe cases, intravenous fluids, such as Ringer's lactate, may be required, and antibiotics may be beneficial. The choice of antibiotic is aided by antibiotic sensitivity testing.
Cholera continues to affect an estimated 3–5 million people worldwide and causes 28,800–130,000 deaths a year. To date, seven cholera pandemics have occurred, with the most recent beginning in 1961, and continuing today. The illness is rare in high-income countries, and affects children most severely. Cholera occurs as both outbreaks and chronically in certain areas. Areas with an ongoing risk of disease include Africa and Southeast Asia. The risk of death among those affected is usually less than 5%, given improved treatment, but may be as high as 50% without such access to treatment. Descriptions of cholera are found as early as the 5th century BCE in Sanskrit literature. In Europe, cholera was a term initially used to describe any kind of gastroenteritis, and was not used for this disease until the early 19th century. The study of cholera in England by John Snow between 1849 and 1854 led to significant advances in the field of epidemiology because of his insights about transmission via contaminated water, and a map of the same was the first recorded incidence of epidemiological tracking.","here are the symptoms listed separated by semicolons:

large amounts of watery diarrhea; vomiting; muscle cramps; severe dehydration and electrolyte imbalance; sunken eyes; cold or cyanotic skin; decreased skin elasticity; wrinkling of hands and feet; death."
A0100,Typhoid fever,"Typhoid fever, also known as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Diarrhea may be severe, but is uncommon. Other people may carry it without being affected, but are still contagious. Typhoid fever is a type of enteric fever, along with paratyphoid fever. Salmonella enterica Typhi is believed to infect and replicate only within humans.
Typhoid is caused by the bacterium Salmonella enterica subsp. enterica serovar Typhi growing in the intestines, Peyer's patches, mesenteric lymph nodes, spleen, liver, gallbladder, bone marrow and blood. Typhoid is spread by eating or drinking food or water contaminated with the feces of an infected person. Risk factors include limited access to clean drinking water and poor sanitation. Those who have not yet been exposed to it and ingest contaminated drinking water or food are most at risk for developing symptoms. Only humans can be infected; there are no known animal reservoirs.  Salmonella Typhi which causes typhoid fever is different from the other Salmonella bacteria that usually cause salmonellosis, a common type of food poisoning.
Diagnosis is performed by culturing and identifying S. Typhi from patient samples or detecting an immune response to the pathogen from blood samples. Recently, new advances in large-scale data collection and analysis have allowed researchers to develop better diagnostics, such as detecting changing abundances of small molecules in the blood that may specifically indicate typhoid fever. Diagnostic tools in regions where typhoid is most prevalent are quite limited in their accuracy and specificity, and the time required for a proper diagnosis, the increasing spread of antibiotic resistance, and the cost of testing are also hardships for under-resourced healthcare systems.
A typhoid vaccine can prevent about 40–90% of cases during the first two years. The vaccine may have some effect for up to seven years. For those at high risk or people traveling to areas where it is common, vaccination is recommended. Other efforts to prevent it include providing clean drinking water, good sanitation, and handwashing. Until an infection is confirmed as cleared, the infected person should not prepare food for others. Typhoid is treated with antibiotics such as azithromycin, fluoroquinolones, or third-generation cephalosporins. Resistance to these antibiotics has been developing, which has made treatment more difficult.
In 2015, 12.5 million new typhoid cases were reported. The disease is most common in India. Children are most commonly affected. Typhoid decreased in the developed world in the 1940s as a result of improved sanitation and the use of antibiotics. Every year about 400 cases are reported in the U.S. and an estimated 6,000 people have typhoid. In 2015, it resulted in about 149,000 deaths worldwide – down from 181,000 in 1990. Without treatment, the risk of death may be as high as 20%. With treatment, it is between 1% and 4%.
Typhus is a different disease, caused by unrelated species of bacteria. Owing to their similar symptoms, they were not recognized as distinct diseases until the 1800s. ""Typhoid"" means ""resembling typhus"".

","weakness; abdominal pain; constipation; headaches; mild vomiting; skin rash with rose colored spots; confusion; diarrhea may be severe; limited access to clean drinking water and poor sanitation; contamination of food or water; immune response to pathogen from blood samples; new advances in large-scale data collection and analysis for better diagnostics; antibiotics such as azithromycin, fluoroquinolones, or third-generation cephalosporins; resistance to these antibiotics; treatment with various antibiotics; 400 cases reported in the us annually; estimated 6,000 people have typhoid worldwide every year; deaths worldwide - 149,000 (down from 181,000) without treatment; risk of death - 20% with treatment"
A0101,Typhoid fever,"Typhoid fever, also known as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Diarrhea may be severe, but is uncommon. Other people may carry it without being affected, but are still contagious. Typhoid fever is a type of enteric fever, along with paratyphoid fever. Salmonella enterica Typhi is believed to infect and replicate only within humans.
Typhoid is caused by the bacterium Salmonella enterica subsp. enterica serovar Typhi growing in the intestines, Peyer's patches, mesenteric lymph nodes, spleen, liver, gallbladder, bone marrow and blood. Typhoid is spread by eating or drinking food or water contaminated with the feces of an infected person. Risk factors include limited access to clean drinking water and poor sanitation. Those who have not yet been exposed to it and ingest contaminated drinking water or food are most at risk for developing symptoms. Only humans can be infected; there are no known animal reservoirs.  Salmonella Typhi which causes typhoid fever is different from the other Salmonella bacteria that usually cause salmonellosis, a common type of food poisoning.
Diagnosis is performed by culturing and identifying S. Typhi from patient samples or detecting an immune response to the pathogen from blood samples. Recently, new advances in large-scale data collection and analysis have allowed researchers to develop better diagnostics, such as detecting changing abundances of small molecules in the blood that may specifically indicate typhoid fever. Diagnostic tools in regions where typhoid is most prevalent are quite limited in their accuracy and specificity, and the time required for a proper diagnosis, the increasing spread of antibiotic resistance, and the cost of testing are also hardships for under-resourced healthcare systems.
A typhoid vaccine can prevent about 40–90% of cases during the first two years. The vaccine may have some effect for up to seven years. For those at high risk or people traveling to areas where it is common, vaccination is recommended. Other efforts to prevent it include providing clean drinking water, good sanitation, and handwashing. Until an infection is confirmed as cleared, the infected person should not prepare food for others. Typhoid is treated with antibiotics such as azithromycin, fluoroquinolones, or third-generation cephalosporins. Resistance to these antibiotics has been developing, which has made treatment more difficult.
In 2015, 12.5 million new typhoid cases were reported. The disease is most common in India. Children are most commonly affected. Typhoid decreased in the developed world in the 1940s as a result of improved sanitation and the use of antibiotics. Every year about 400 cases are reported in the U.S. and an estimated 6,000 people have typhoid. In 2015, it resulted in about 149,000 deaths worldwide – down from 181,000 in 1990. Without treatment, the risk of death may be as high as 20%. With treatment, it is between 1% and 4%.
Typhus is a different disease, caused by unrelated species of bacteria. Owing to their similar symptoms, they were not recognized as distinct diseases until the 1800s. ""Typhoid"" means ""resembling typhus"".

",weakness; high fever; abdominal pain; constipation; headaches; mild vomiting; skin rash with rose colored spots; confusion; diarrhea; dehydration; loss of appetite; fatigue; sleep disturbances; weight loss; nausea and stomach cramps; increased salivation; runny nose; sneezing; coughing; lethargy
A0102,Typhoid fever,"Typhoid fever, also known as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Diarrhea may be severe, but is uncommon. Other people may carry it without being affected, but are still contagious. Typhoid fever is a type of enteric fever, along with paratyphoid fever. Salmonella enterica Typhi is believed to infect and replicate only within humans.
Typhoid is caused by the bacterium Salmonella enterica subsp. enterica serovar Typhi growing in the intestines, Peyer's patches, mesenteric lymph nodes, spleen, liver, gallbladder, bone marrow and blood. Typhoid is spread by eating or drinking food or water contaminated with the feces of an infected person. Risk factors include limited access to clean drinking water and poor sanitation. Those who have not yet been exposed to it and ingest contaminated drinking water or food are most at risk for developing symptoms. Only humans can be infected; there are no known animal reservoirs.  Salmonella Typhi which causes typhoid fever is different from the other Salmonella bacteria that usually cause salmonellosis, a common type of food poisoning.
Diagnosis is performed by culturing and identifying S. Typhi from patient samples or detecting an immune response to the pathogen from blood samples. Recently, new advances in large-scale data collection and analysis have allowed researchers to develop better diagnostics, such as detecting changing abundances of small molecules in the blood that may specifically indicate typhoid fever. Diagnostic tools in regions where typhoid is most prevalent are quite limited in their accuracy and specificity, and the time required for a proper diagnosis, the increasing spread of antibiotic resistance, and the cost of testing are also hardships for under-resourced healthcare systems.
A typhoid vaccine can prevent about 40–90% of cases during the first two years. The vaccine may have some effect for up to seven years. For those at high risk or people traveling to areas where it is common, vaccination is recommended. Other efforts to prevent it include providing clean drinking water, good sanitation, and handwashing. Until an infection is confirmed as cleared, the infected person should not prepare food for others. Typhoid is treated with antibiotics such as azithromycin, fluoroquinolones, or third-generation cephalosporins. Resistance to these antibiotics has been developing, which has made treatment more difficult.
In 2015, 12.5 million new typhoid cases were reported. The disease is most common in India. Children are most commonly affected. Typhoid decreased in the developed world in the 1940s as a result of improved sanitation and the use of antibiotics. Every year about 400 cases are reported in the U.S. and an estimated 6,000 people have typhoid. In 2015, it resulted in about 149,000 deaths worldwide – down from 181,000 in 1990. Without treatment, the risk of death may be as high as 20%. With treatment, it is between 1% and 4%.
Typhus is a different disease, caused by unrelated species of bacteria. Owing to their similar symptoms, they were not recognized as distinct diseases until the 1800s. ""Typhoid"" means ""resembling typhus"".

","weakness; abdominal pain; constipation; headaches; mild vomiting; skin rash with rose colored spots; confusion; diarrhea; respiratory symptoms; dehydration; bleeding or bruising; loss of appetite; fever; chills; nausea and vomiting; stomach cramps; fatigue; weight loss; joint pains; muscle aches; swelling in the legs, feet, and ankles; sensitivity to cold; coughing fits; swollen lymph nodes; loss of coordination; delirium; abdominal tenderness; high temperature; headache with eye pain; body aches; fever with sweating; chills with nausea; diarrhea with blood; stomach cramps; vomiting blood"
A0103,Typhoid fever,"Typhoid fever, also known as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Diarrhea may be severe, but is uncommon. Other people may carry it without being affected, but are still contagious. Typhoid fever is a type of enteric fever, along with paratyphoid fever. Salmonella enterica Typhi is believed to infect and replicate only within humans.
Typhoid is caused by the bacterium Salmonella enterica subsp. enterica serovar Typhi growing in the intestines, Peyer's patches, mesenteric lymph nodes, spleen, liver, gallbladder, bone marrow and blood. Typhoid is spread by eating or drinking food or water contaminated with the feces of an infected person. Risk factors include limited access to clean drinking water and poor sanitation. Those who have not yet been exposed to it and ingest contaminated drinking water or food are most at risk for developing symptoms. Only humans can be infected; there are no known animal reservoirs.  Salmonella Typhi which causes typhoid fever is different from the other Salmonella bacteria that usually cause salmonellosis, a common type of food poisoning.
Diagnosis is performed by culturing and identifying S. Typhi from patient samples or detecting an immune response to the pathogen from blood samples. Recently, new advances in large-scale data collection and analysis have allowed researchers to develop better diagnostics, such as detecting changing abundances of small molecules in the blood that may specifically indicate typhoid fever. Diagnostic tools in regions where typhoid is most prevalent are quite limited in their accuracy and specificity, and the time required for a proper diagnosis, the increasing spread of antibiotic resistance, and the cost of testing are also hardships for under-resourced healthcare systems.
A typhoid vaccine can prevent about 40–90% of cases during the first two years. The vaccine may have some effect for up to seven years. For those at high risk or people traveling to areas where it is common, vaccination is recommended. Other efforts to prevent it include providing clean drinking water, good sanitation, and handwashing. Until an infection is confirmed as cleared, the infected person should not prepare food for others. Typhoid is treated with antibiotics such as azithromycin, fluoroquinolones, or third-generation cephalosporins. Resistance to these antibiotics has been developing, which has made treatment more difficult.
In 2015, 12.5 million new typhoid cases were reported. The disease is most common in India. Children are most commonly affected. Typhoid decreased in the developed world in the 1940s as a result of improved sanitation and the use of antibiotics. Every year about 400 cases are reported in the U.S. and an estimated 6,000 people have typhoid. In 2015, it resulted in about 149,000 deaths worldwide – down from 181,000 in 1990. Without treatment, the risk of death may be as high as 20%. With treatment, it is between 1% and 4%.
Typhus is a different disease, caused by unrelated species of bacteria. Owing to their similar symptoms, they were not recognized as distinct diseases until the 1800s. ""Typhoid"" means ""resembling typhus"".

","here are the symptoms separated by semicolon from the description:

weakness; abdominal pain; constipation; headaches; mild vomiting; skin rash with rose colored spots; confusion; diarrhea; mild illness; high fever; mild weakness; fatigue; dehydration; weight loss; low blood pressure; lethargy"
A0104,Typhoid fever,"Typhoid fever, also known as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Diarrhea may be severe, but is uncommon. Other people may carry it without being affected, but are still contagious. Typhoid fever is a type of enteric fever, along with paratyphoid fever. Salmonella enterica Typhi is believed to infect and replicate only within humans.
Typhoid is caused by the bacterium Salmonella enterica subsp. enterica serovar Typhi growing in the intestines, Peyer's patches, mesenteric lymph nodes, spleen, liver, gallbladder, bone marrow and blood. Typhoid is spread by eating or drinking food or water contaminated with the feces of an infected person. Risk factors include limited access to clean drinking water and poor sanitation. Those who have not yet been exposed to it and ingest contaminated drinking water or food are most at risk for developing symptoms. Only humans can be infected; there are no known animal reservoirs.  Salmonella Typhi which causes typhoid fever is different from the other Salmonella bacteria that usually cause salmonellosis, a common type of food poisoning.
Diagnosis is performed by culturing and identifying S. Typhi from patient samples or detecting an immune response to the pathogen from blood samples. Recently, new advances in large-scale data collection and analysis have allowed researchers to develop better diagnostics, such as detecting changing abundances of small molecules in the blood that may specifically indicate typhoid fever. Diagnostic tools in regions where typhoid is most prevalent are quite limited in their accuracy and specificity, and the time required for a proper diagnosis, the increasing spread of antibiotic resistance, and the cost of testing are also hardships for under-resourced healthcare systems.
A typhoid vaccine can prevent about 40–90% of cases during the first two years. The vaccine may have some effect for up to seven years. For those at high risk or people traveling to areas where it is common, vaccination is recommended. Other efforts to prevent it include providing clean drinking water, good sanitation, and handwashing. Until an infection is confirmed as cleared, the infected person should not prepare food for others. Typhoid is treated with antibiotics such as azithromycin, fluoroquinolones, or third-generation cephalosporins. Resistance to these antibiotics has been developing, which has made treatment more difficult.
In 2015, 12.5 million new typhoid cases were reported. The disease is most common in India. Children are most commonly affected. Typhoid decreased in the developed world in the 1940s as a result of improved sanitation and the use of antibiotics. Every year about 400 cases are reported in the U.S. and an estimated 6,000 people have typhoid. In 2015, it resulted in about 149,000 deaths worldwide – down from 181,000 in 1990. Without treatment, the risk of death may be as high as 20%. With treatment, it is between 1% and 4%.
Typhus is a different disease, caused by unrelated species of bacteria. Owing to their similar symptoms, they were not recognized as distinct diseases until the 1800s. ""Typhoid"" means ""resembling typhus"".

","here are the symptoms separated by semicolons:

weakness; abdominal pain; constipation; headaches; mild vomiting; skin rash with rose colored spots; confusion; diarrhea; intestinal infection; nausea; abdominal cramps; fever; chills; muscle aches; fatigue; loss of appetite; body aches; joint pains"
A0105,Typhoid fever,"Typhoid fever, also known as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Diarrhea may be severe, but is uncommon. Other people may carry it without being affected, but are still contagious. Typhoid fever is a type of enteric fever, along with paratyphoid fever. Salmonella enterica Typhi is believed to infect and replicate only within humans.
Typhoid is caused by the bacterium Salmonella enterica subsp. enterica serovar Typhi growing in the intestines, Peyer's patches, mesenteric lymph nodes, spleen, liver, gallbladder, bone marrow and blood. Typhoid is spread by eating or drinking food or water contaminated with the feces of an infected person. Risk factors include limited access to clean drinking water and poor sanitation. Those who have not yet been exposed to it and ingest contaminated drinking water or food are most at risk for developing symptoms. Only humans can be infected; there are no known animal reservoirs.  Salmonella Typhi which causes typhoid fever is different from the other Salmonella bacteria that usually cause salmonellosis, a common type of food poisoning.
Diagnosis is performed by culturing and identifying S. Typhi from patient samples or detecting an immune response to the pathogen from blood samples. Recently, new advances in large-scale data collection and analysis have allowed researchers to develop better diagnostics, such as detecting changing abundances of small molecules in the blood that may specifically indicate typhoid fever. Diagnostic tools in regions where typhoid is most prevalent are quite limited in their accuracy and specificity, and the time required for a proper diagnosis, the increasing spread of antibiotic resistance, and the cost of testing are also hardships for under-resourced healthcare systems.
A typhoid vaccine can prevent about 40–90% of cases during the first two years. The vaccine may have some effect for up to seven years. For those at high risk or people traveling to areas where it is common, vaccination is recommended. Other efforts to prevent it include providing clean drinking water, good sanitation, and handwashing. Until an infection is confirmed as cleared, the infected person should not prepare food for others. Typhoid is treated with antibiotics such as azithromycin, fluoroquinolones, or third-generation cephalosporins. Resistance to these antibiotics has been developing, which has made treatment more difficult.
In 2015, 12.5 million new typhoid cases were reported. The disease is most common in India. Children are most commonly affected. Typhoid decreased in the developed world in the 1940s as a result of improved sanitation and the use of antibiotics. Every year about 400 cases are reported in the U.S. and an estimated 6,000 people have typhoid. In 2015, it resulted in about 149,000 deaths worldwide – down from 181,000 in 1990. Without treatment, the risk of death may be as high as 20%. With treatment, it is between 1% and 4%.
Typhus is a different disease, caused by unrelated species of bacteria. Owing to their similar symptoms, they were not recognized as distinct diseases until the 1800s. ""Typhoid"" means ""resembling typhus"".

",weakness; abdominal pain; constipation; headaches; mild vomiting; skin rash with rose colored spots; confusion; diarrhea; dehydration; bloody stools; fever; coughing; weakness and fatigue; joint pains; loss of appetite; sore throat; swollen lymph nodes; nausea; vomiting; abdominal cramps; headache and fatigue.
A0109,Typhoid fever,"Typhoid fever, also known as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Diarrhea may be severe, but is uncommon. Other people may carry it without being affected, but are still contagious. Typhoid fever is a type of enteric fever, along with paratyphoid fever. Salmonella enterica Typhi is believed to infect and replicate only within humans.
Typhoid is caused by the bacterium Salmonella enterica subsp. enterica serovar Typhi growing in the intestines, Peyer's patches, mesenteric lymph nodes, spleen, liver, gallbladder, bone marrow and blood. Typhoid is spread by eating or drinking food or water contaminated with the feces of an infected person. Risk factors include limited access to clean drinking water and poor sanitation. Those who have not yet been exposed to it and ingest contaminated drinking water or food are most at risk for developing symptoms. Only humans can be infected; there are no known animal reservoirs.  Salmonella Typhi which causes typhoid fever is different from the other Salmonella bacteria that usually cause salmonellosis, a common type of food poisoning.
Diagnosis is performed by culturing and identifying S. Typhi from patient samples or detecting an immune response to the pathogen from blood samples. Recently, new advances in large-scale data collection and analysis have allowed researchers to develop better diagnostics, such as detecting changing abundances of small molecules in the blood that may specifically indicate typhoid fever. Diagnostic tools in regions where typhoid is most prevalent are quite limited in their accuracy and specificity, and the time required for a proper diagnosis, the increasing spread of antibiotic resistance, and the cost of testing are also hardships for under-resourced healthcare systems.
A typhoid vaccine can prevent about 40–90% of cases during the first two years. The vaccine may have some effect for up to seven years. For those at high risk or people traveling to areas where it is common, vaccination is recommended. Other efforts to prevent it include providing clean drinking water, good sanitation, and handwashing. Until an infection is confirmed as cleared, the infected person should not prepare food for others. Typhoid is treated with antibiotics such as azithromycin, fluoroquinolones, or third-generation cephalosporins. Resistance to these antibiotics has been developing, which has made treatment more difficult.
In 2015, 12.5 million new typhoid cases were reported. The disease is most common in India. Children are most commonly affected. Typhoid decreased in the developed world in the 1940s as a result of improved sanitation and the use of antibiotics. Every year about 400 cases are reported in the U.S. and an estimated 6,000 people have typhoid. In 2015, it resulted in about 149,000 deaths worldwide – down from 181,000 in 1990. Without treatment, the risk of death may be as high as 20%. With treatment, it is between 1% and 4%.
Typhus is a different disease, caused by unrelated species of bacteria. Owing to their similar symptoms, they were not recognized as distinct diseases until the 1800s. ""Typhoid"" means ""resembling typhus"".

","here are the symptoms separated by semicolons:

gradual onset of high fever; weakness; abdominal pain; constipation; headaches; mild vomiting; skin rash with rose colored spots; confusion; diarrhea; severe diarrhea; intestinal infection; rectal inflammation; abdominal tenderness; nausea; loss of appetite"
